Id_RipUnit,Id_Reach,Basin,Sub_Basin,Reach,Bank,RipUnit,LW_Presence,Dead_Wood,Sinuosity,Width_Mean,Lat_Connectivity,Gradient (%),SPI / Width,SPI,Lentgh (m),Standing_Dead_Trees,Regeneration,Basal_Area (m2/ha),P50_Height,Height_IQR,HardWood_Ab,SoftWood_Ab,Pioneers_Ab,Shrubs_Ab,Brambles_Ab,Invasive_Ab,MaxDiamClass,DiamComplex,StructuralIndex
19,10,Arve,Arve,A-A10,Left ,A-A10-Left,3,3,1.134,62.1,4,0.35,2.4,148.0,3394,3,2,19,16,6.65,1,1,1,0,0,1,3,3,0.755484832
20,10,Arve,Arve,A-A10,Right ,A-A10-Right,3,3,1.134,62.1,4,0.35,2.4,148.0,3394,3,3,21,15.7,6.2,0,1,1,0,0,1,4,4,0.658585617
21,11,Arve,Arve,A-A11,Left ,A-A11-Left,1,2,1.062,74.4,3,0.21,1.3,95.2,8076,3,2,21,14.5,8.2,0,1,2,0,0,0,3,3,0.762402376
22,11,Arve,Arve,A-A11,Right ,A-A11-Right,1,1,1.062,74.4,3,0.21,1.3,95.2,8076,2,2,20,13.4,8.1,1,0,2,0,0,1,3,3,0.742597435
23,12,Arve,Arve,A-A12,Left ,A-A12-Left,4,4,1.169,87.9,4,0.16,0.9,75.0,7917,3,3,26,16.5,9.8,0,2,2,0,0,1,4,4,0.816799935
24,12,Arve,Arve,A-A12,Right ,A-A12-Right,4,3,1.169,87.9,4,0.16,0.9,75.0,7917,4,4,26,13.8,9.4,1,4,1,0,0,1,2,2,0.821355158
25,13,Arve,Arve,A-A13,Left ,A-A13-Left,2,3,1.281,47.7,4,0.21,2.0,97.4,6796,3,3,15,21.9,9.575,1,4,2,1,0,1,4,4,0.906453646
26,13,Arve,Arve,A-A13,Right ,A-A13-Right,2,4,1.281,47.7,4,0.21,2.0,97.4,6796,4,4,16,22.3,7.3,1,3,2,1,0,2,4,4,0.906430893
27,14,Arve,Arve,A-A14,Left ,A-A14-Left,3,3,1.513,59.8,4,0.35,2.9,174.2,4335,2,2,12,21.5,8.875,1,4,2,2,2,0,3,3,0.934957765
28,14,Arve,Arve,A-A14,Right ,A-A14-Right,3,3,1.513,59.8,4,0.35,2.9,174.2,4335,2,3,14,20.3,7.85,0,4,2,2,2,1,3,3,0.895348875
29,15,Arve,Arve,A-A15,Left ,A-A15-Left,4,2,1.404,80.5,4,0.26,1.7,133.4,6971,1,2,14,19.45,9.2,1,2,2,0,1,1,5,5,0.915461907
30,15,Arve,Arve,A-A15,Right ,A-A15-Right,4,4,1.404,80.5,4,0.26,1.7,133.4,6971,3,2,22,19.05,8,0,2,1,0,1,2,3,3,0.739337963
31,16,Arve,Arve,A-A16,Left ,A-A16-Left,2,2,1.202,56.5,4,0.25,2.3,129.1,4007,2,3,21,23,6,0,3,2,1,0,0,5,4,0.875153574
32,16,Arve,Arve,A-A16,Right ,A-A16-Right,2,2,1.202,56.5,4,0.25,2.3,129.1,4007,3,2,13,22.2,6.2,1,3,1,1,1,1,2,2,0.899019035
33,17,Arve,Arve,A-A17,Left ,A-A17-Left,2,1,2.084,63.5,3,0.23,1.9,119.2,4783,2,2,13,23,6.2,0,0,2,0,0,1,2,2,0.637251511
34,17,Arve,Arve,A-A17,Right ,A-A17-Right,2,1,2.08,63.5,3,0.23,1.9,119.2,4783,1,1,25,20.7,6.1,0,5,1,0,0,1,3,3,0.870115297
1,1,Arve,Arve,A-A1,Left ,A-A1-Left,1,2,1.073,12.4,2,3.56,31.3,386.7,6062,1,2,18,18,10.4,1,3,1,0,0,2,3,3,0.856973491
2,1,Arve,Arve,A-A1,Right ,A-A1-Right,1,3,1.073,12.4,4,3.56,31.3,386.7,6062,3,3,27,24.6,12.6,1,2,1,0,0,1,5,5,0.83768772
3,2,Arve,Arve,A-A2,Left ,A-A2-Left,1,1,1.066,14.1,1,1.02,12.3,173.1,5575,1,1,8,16.2,5.725,0,1,2,0,0,1,3,3,0.791164952
4,2,Arve,Arve,A-A2,Right ,A-A2-Right,1,1,1.07,14.1,1,1.02,12.3,173.1,5575,1,1,10,16.35,5.1,1,3,2,0,0,1,4,4,0.912505605
5,3,Arve,Arve,A-A3,Left ,A-A3-Left,1,2,1.149,38.2,3,1.59,7.8,296.7,5530,1,1,21,16.85,6,0,2,1,2,0,0,4,3,0.714774277
6,3,Arve,Arve,A-A3,Right ,A-A3-Right,1,2,1.15,38.2,4,1.59,7.8,296.7,5530,3,3,22,20.4,8.2,0,1,1,2,0,1,4,4,0.761861476
7,4,Arve,Arve,A-A4,Left ,A-A4-Left,2,4,1.128,24.3,4,2.82,24.3,591.2,4885,3,3,29,19.9,12.1,0,1,2,1,1,0,3,3,0.791164952
8,4,Arve,Arve,A-A4,Right ,A-A4-Right,2,2,1.13,24.3,4,2.82,24.3,591.2,4885,3,3,20,23,10.3,0,1,2,2,2,0,4,3,0.742597435
9,5,Arve,Arve,A-A5,Left ,A-A5-Left,4,2,1.464,17.4,4,3.60,45.6,791.8,6304,2,3,28,18.8,11.55,1,3,2,1,1,0,4,4,0.919184258
10,5,Arve,Arve,A-A5,Right ,A-A5-Right,4,3,1.46,17.4,4,3.60,45.6,791.8,6304,2,3,28,16.9,11.975,0,3,2,1,1,0,3,3,0.943207914
11,6,Arve,Arve,A-A6,Left ,A-A6-Left,1,2,1.104,31.3,3,0.59,5.5,172.3,8439,2,2,25,13.6,5.5,0,3,2,2,1,0,2,2,0.872691655
12,6,Arve,Arve,A-A6,Right ,A-A6-Right,1,1,1.10,31.3,2,0.59,5.5,172.3,8439,1,2,21,15.1,7.4,0,3,2,2,0,0,4,4,0.800742473
13,7,Arve,Arve,A-A7,Left ,A-A7-Left,4,3,1.146,37.6,4,0.33,2.7,100.4,6712,2,2,25,17.5,10,0,3,2,1,0,1,3,3,0.886787355
14,7,Arve,Arve,A-A7,Right ,A-A7-Right,4,2,1.15,37.6,4,0.33,2.7,100.4,6712,3,2,23,15.9,9.45,0,4,2,1,0,1,3,3,0.795187083
15,8,Arve,Arve,A-A8,Left ,A-A8-Left,2,4,1.317,45.1,4,0.32,2.2,99.8,7883,3,4,26,19.3,9.5,0,4,2,0,0,0,4,4,0.914435682
16,8,Arve,Arve,A-A8,Right ,A-A8-Right,2,3,1.32,45.1,4,0.32,2.2,99.8,7883,2,2,24,13.8,8.1,0,5,2,1,0,1,5,4,0.940241012
17,9,Arve,Arve,A-A9,Left ,A-A9-Left,1,1,1.057,38.9,3,0.37,3.2,124.3,5073,2,1,10,16.5,8.1,0,2,1,1,1,0,4,3,0.816517105
18,9,Arve,Arve,A-A9,Right ,A-A9-Right,1,2,1.06,38.9,3,0.37,3.2,124.3,5073,1,1,15,14.9,8.3,0,4,2,3,1,0,5,3,0.846644553
35,18,Arve,Giffre,A-G1,Left ,A-G1-Left,3,4,1.329,26.3,4,6.09,21.6,568.5,6143,3,3,19,21.2,9.5,1,4,1,1,1,0,3,3,0.931985501
36,18,Arve,Giffre,A-G1,Right ,A-G1-Right,3,4,1.33,26.3,4,6.09,21.6,568.5,6143,4,3,28,20,12.5,1,4,1,1,1,0,2,2,0.960391111
37,19,Arve,Giffre,A-G2,Left ,A-G2-Left,2,3,1.095,22.9,4,1.58,9.5,217.9,3473,2,2,16,20.6,9.9,1,4,1,1,1,0,4,4,0.920983859
38,19,Arve,Giffre,A-G2,Right ,A-G2-Right,2,3,1.10,22.9,4,1.58,9.5,217.9,3473,3,2,22,20.1,11.8,1,3,0,1,1,0,2,2,0.841682484
39,20,Arve,Giffre,A-G3,Left ,A-G3-Left,1,4,1.071,33.0,4,1.00,5.0,164.9,4487,4,2,21,21.6,12.5,1,3,1,1,1,0,3,3,0.823267924
40,20,Arve,Giffre,A-G3,Right ,A-G3-Right,1,2,1.07,33.0,4,1.00,5.0,164.9,4487,1,1,22,19.35,9.675,1,3,0,1,0,0,4,4,0.815355104
41,21,Arve,Giffre,A-G4,Left ,A-G4-Left,4,2,1.083,75.3,4,0.70,1.7,126.0,7013,3,4,16,17.2,8.025,1,2,1,0,1,0,3,3,0.816517105
42,21,Arve,Giffre,A-G4,Right ,A-G4-Right,4,3,1.08,75.3,4,0.70,1.7,126.0,7013,3,2,26,17.2,8.7,1,5,1,1,2,0,4,4,0.956561315
43,22,Arve,Giffre,A-G5,Left ,A-G5-Left,2,3,1.089,64.5,4,0.40,1.3,83.8,4273,4,3,26,17.5,15.9,1,5,0,3,1,0,5,4,0.881759935
44,22,Arve,Giffre,A-G5,Right ,A-G5-Right,2,3,1.09,64.5,4,0.40,1.3,83.8,4273,3,2,31,15.5,8.3,1,6,0,2,1,0,5,4,0.930482024
45,23,Arve,Giffre,A-G6,Left ,A-G6-Left,2,2,1.193,37.4,4,0.73,4.3,162.3,7137,3,3,22,23.3,10.6,1,4,0,1,1,0,2,2,0.890760739
46,23,Arve,Giffre,A-G6,Right ,A-G6-Right,2,3,1.19,37.4,4,0.73,4.3,162.3,7137,3,2,15,20.4,9.3,1,3,2,2,1,0,3,3,0.895348875
47,24,Arve,Giffre,A-G7,Left ,A-G7-Left,1,1,1.482,35.4,2,1.78,12.4,438.4,5801,1,1,23,20.85,13.575,0,1,1,1,1,0,4,4,0.658585617
48,24,Arve,Giffre,A-G7,Right ,A-G7-Right,1,3,1.48,35.4,2,1.78,12.4,438.4,5801,3,3,23,24.1,10.075,0,2,1,2,1,0,3,2,0.782287517
49,25,Arve,Giffre,A-G8,Left ,A-G8-Left,2,2,1.041,57.1,4,0.69,3.1,176.3,3322,2,3,22,11.6,7.2,0,2,2,1,1,0,4,4,0.772331632
50,25,Arve,Giffre,A-G8,Right ,A-G8-Right,2,3,1.04,57.1,4,0.69,3.1,176.3,3322,3,3,24,15.2,7.75,1,3,1,1,0,0,5,3,0.85271729
51,26,Arve,Menoge,A-M1,Left ,A-M1-Left,3,3,1.252,13.6,4,1.20,8.5,115.7,7148,2,3,27,25.3,9.6,1,2,0,0,0,0,4,4,0.758697283
52,26,Arve,Menoge,A-M1,Right ,A-M1-Right,3,3,1.25,13.6,4,1.20,8.5,115.7,7148,3,3,28,24,9.5,1,4,0,2,0,1,4,4,0.885523363
53,27,Arve,Menoge,A-M2,Left ,A-M2-Left,4,3,1.444,19.2,4,2.62,18.4,352.7,7648,3,3,24,20.6,8.2,1,4,1,2,1,1,4,4,0.940873134
54,27,Arve,Menoge,A-M2,Right ,A-M2-Right,4,4,1.44,19.2,4,2.62,18.4,352.7,7648,3,3,24,20.5,8.7,1,5,0,2,1,0,4,4,0.8927846
55,28,Arve,Menoge,A-M3,Left ,A-M3-Left,3,3,1.339,25.6,4,1.13,7.3,187.0,9363,3,3,21,21.9,10.3,0,3,2,1,0,1,4,4,0.853128759
56,28,Arve,Menoge,A-M3,Right ,A-M3-Right,3,2,1.34,25.6,4,1.13,7.3,187.0,9363,1,2,13,19.2,8.1,0,2,2,1,0,1,2,2,0.845104022
79,40,Rhone,Rhone,R-1,Left ,R1-Left,3,2,1.664,118.5,4,0.09,0.8,95.9,11621,3,2,21,20.9,6.2,1,4,0,1,0,0,5,5,0.852437536
80,40,Rhone,Rhone,R-1,Right ,R1-Right,3,4,1.66,118.5,4,0.09,0.8,95.9,11621,3,2,26,18.6,8.2,1,4,1,1,0,0,3,3,0.889727466
81,41,Rhone,Rhone,R-2,Left ,R2-Left,2,2,1.334,89.5,4,0.15,1.9,169.5,7280,3,4,25,19.1,9.4,1,4,0,0,0,0,3,3,0.85271729
82,41,Rhone,Rhone,R-2,Right ,R2-Right,2,2,1.33,89.5,3,0.15,1.9,169.5,7280,3,3,23,17.8,7.8,1,5,0,1,1,0,5,5,0.899284909
83,42,Rhone,Rhone,R-3,Left ,R3-Left,2,2,1.181,118.7,4,0.13,1.3,150.8,8461,3,3,21,17.6,9.925,0,2,1,1,1,1,3,3,0.773358033
84,42,Rhone,Rhone,R-3,Right ,R3-Right,2,3,1.18,118.7,4,0.13,1.3,150.8,8461,2,3,20,17.7,9.025,0,5,1,2,1,1,4,4,0.906430893
85,43,Rhone,Rhone,R-4,Left ,R4-Left,3,3,1.816,106.4,4,0.17,1.9,197.4,10778,2,2,18,25.6,8.7,0,4,1,1,0,1,5,5,0.854220464
86,43,Rhone,Rhone,R-4,Right ,R4-Right,3,2,1.82,106.4,4,0.17,1.9,197.4,10778,3,4,24,22.1,6.9,0,4,0,1,0,1,4,4,0.816799935
87,44,Rhone,Rhone,R-5,Left ,R5-Left,2,3,1.285,119.5,4,0.81,8.0,956.5,7788,2,3,18,24.6,6.9,0,5,1,1,1,0,4,4,0.874826792
88,44,Rhone,Rhone,R-5,Right ,R5-Right,2,3,1.29,119.5,4,0.81,8.0,956.5,7788,3,3,22,19.5,7.5,0,5,1,1,1,0,3,3,0.91324741
71,36,Valserine,Semine,V-S1,Left ,V-S1-Left,4,4,1.209,11.2,4,5.16,38.9,437.0,8486,3,4,17,28.3,7.4,1,3,0,1,1,0,2,2,0.841682484
72,36,Valserine,Semine,V-S1,Right ,V-S1-Right,4,2,1.21,11.2,4,5.16,38.9,437.0,8486,1,2,12,26.6,9,1,2,0,1,1,1,3,3,0.762402376
73,37,Valserine,Semine,V-S2,Left ,V-S2-Left,3,1,1.199,11.5,4,1.32,12.0,138.2,3852,1,2,13,26.3,9,1,3,1,1,0,0,3,3,0.856973491
74,37,Valserine,Semine,V-S2,Right ,V-S2-Right,3,2,1.20,11.5,4,1.32,12.0,138.2,3852,2,3,21,21.4,8.7,0,3,0,0,0,0,4,4,0.742880265
75,38,Valserine,Semine,V-S3,Left ,V-S3-Left,3,2,1.422,22.2,4,1.61,11.0,244.5,6198,3,3,20,20.35,8.775,1,4,0,0,0,0,4,4,0.861026007
76,38,Valserine,Semine,V-S3,Right ,V-S3-Right,3,4,1.42,22.2,4,1.61,11.0,244.5,6198,3,4,31,21,9.8,1,3,0,0,0,0,4,4,0.793707187
77,39,Valserine,Semine,V-S4,Left ,V-S4-Left,2,2,1.094,26.4,4,1.69,10.4,274.4,2966,3,3,23,20.9,7.8,1,3,0,1,0,0,3,3,0.836322046
78,39,Valserine,Semine,V-S4,Right ,V-S4-Right,2,3,1.09,26.4,4,1.69,10.4,274.4,2966,3,3,24,24.8,7.7,1,3,0,1,1,1,2,2,0.815355104
57,29,Valserine,Valserine,V-V1,Left ,V-V1-Left,4,3,1.216,10.1,4,1.05,8.5,86.1,6286,3,3,20,23.2,10.35,0,2,1,2,1,0,3,3,0.816517105
58,29,Valserine,Valserine,V-V1,Right ,V-V1-Right,4,2,1.22,10.1,4,1.05,8.5,86.1,6286,3,2,16,17.7,6.825,0,5,1,2,2,1,4,4,0.922000947
59,30,Valserine,Valserine,V-V2,Left ,V-V2-Left,3,3,1.212,12.9,4,0.93,7.4,95.7,8818,2,2,22,19.3,8.975,0,4,2,2,0,1,3,3,0.955970846
60,30,Valserine,Valserine,V-V2,Right ,V-V2-Right,3,2,1.21,12.9,4,0.93,7.4,95.7,8818,3,3,22,22.2,8.9,1,3,2,2,2,1,5,4,0.933156389
61,31,Valserine,Valserine,V-V3,Left ,V-V3-Left,4,3,1.207,9.4,4,3.14,38.9,366.4,6048,3,3,21,26.8,7.6,0,3,2,1,1,0,3,3,0.885138128
62,31,Valserine,Valserine,V-V3,Right ,V-V3-Right,4,4,1.21,9.4,4,3.14,38.9,366.4,6048,4,4,29,23.5,6,0,3,1,2,2,1,4,4,0.830072648
63,32,Valserine,Valserine,V-V4,Left ,V-V4-Left,2,4,1.097,20.4,4,2.23,14.0,285.1,4436,3,3,21,15.35,7.8,0,2,2,2,2,0,3,3,0.813257633
64,32,Valserine,Valserine,V-V4,Right ,V-V4-Right,2,3,1.10,20.4,4,2.23,14.0,285.1,4436,3,4,23,15.65,7.6,0,5,1,2,2,1,5,4,0.963847136
65,33,Valserine,Valserine,V-V5,Left ,V-V5-Left,4,2,1.161,24.3,4,1.73,10.2,246.9,7014,2,2,25,24.2,11.1,0,5,1,1,1,1,4,4,0.977153175
66,33,Valserine,Valserine,V-V5,Right ,V-V5-Right,4,2,1.16,24.3,4,1.73,10.2,246.9,7014,2,2,21,20.3,10.475,0,2,2,2,1,0,3,3,0.839023991
67,34,Valserine,Valserine,V-V6,Left ,V-V6-Left,2,3,1.296,28.1,4,2.40,18.8,527.0,5043,3,3,21,22.8,6.3,1,5,0,2,1,0,4,4,0.922000947
68,34,Valserine,Valserine,V-V6,Right ,V-V6-Right,2,3,1.30,28.1,4,2.40,18.8,527.0,5043,4,3,22,22.1,7,0,3,1,1,1,0,2,2,0.815355104
69,35,Valserine,Valserine,V-V7,Left ,V-V7-Left,3,3,1.15,35.7,4,0.88,5.6,199.9,3748,4,3,19,22.6,7.7,1,3,0,2,1,0,2,2,0.841682484
70,35,Valserine,Valserine,V-V7,Right ,V-V7-Right,3,4,1.15,35.7,4,0.88,5.6,199.9,3748,4,4,17,21.6,7.5,1,2,1,2,1,0,3,3,0.813257633
